상권_코드_명,서비스_업종_코드_명,rank_상권별
보라매역 4번,노래방,1.0
보라매역 6번,노래방,1.0
보문역 4번,가구,1.0
보문역 5번,PC방,1.0
보문역 8번,PC방,1.0
보인중학교,골프연습장,1.0
본동인정시장(기능상실),가전제품,1.0
본마을노인복지센터(서초구립내곡도서관),분식전문점,1.0
본서부병원,PC방,1.0
봉원사,미곡판매,1.0
봉은사역,PC방,1.0
봉은사역 4번,미용실,1.0
봉일시장,미용실,1.0
봉천역 1번(관악초등학교),PC방,1.0
봉천역 4번(봉천110안전센터),가구,1.0
봉천역 6번,골프연습장,1.0
봉천제일종합시장,미용실,1.0
봉천중앙시장,분식전문점,1.0
봉천현대시장,반찬가게,1.0
부암동주민센터,예술학원,1.0
북가좌2동주민센터,PC방,1.0
북가좌초등학교,당구장,1.0
북정마을,제과점,1.0
북창동(시청역_6번),가방,1.0
북촌(안국역),노래방,1.0
북한산보국문역 1번,분식전문점,1.0
북한산보국문역 2번,골프연습장,1.0
북한산우이역 2번,가전제품수리,1.0
불광먹자골목 골목형상점가,골프연습장,1.0
불광역,PC방,1.0
불광역 3번,가방,1.0
불광역 7번,네일숍,1.0
불광역 8번,미용실,1.0
불광중학교,분식전문점,1.0
비단길현대시장(현대시장),가방,1.0
사가정시장,네일숍,1.0
사가정역,PC방,1.0
사가정역 1번,가전제품수리,1.0
사가정역 4번,노래방,1.0
사근동살곶이상점가,PC방,1.0
사당1동먹자골목상점가(사당1동먹자골목),골프연습장,1.0
사당5동주민센터,가전제품,1.0
사당시장,가전제품,1.0
사당역 10번,PC방,1.0
사당역 11번(사당역먹자골목),네일숍,1.0
사당역 4번,PC방,1.0
사당역(사당),PC방,1.0
사당종합체육관,미용실,1.0
사직공원(한국사회과학도서관),여관,1.0
삼각산119안전센터,가전제품수리,1.0
삼각지역,골프연습장,1.0
삼각지역 14번,문구,1.0
삼각지역 3번,문구,1.0
삼광초등학교,노래방,1.0
삼구시장(로타리상가),의료기기,1.0
삼선동주민센터,고시원,1.0
삼선중학교,가구,1.0
삼성동 시장(삼성동시장),문구,1.0
삼성산자연공원(서울금천초등학교),PC방,1.0
삼성역,가방,1.0
삼성전자서울R&D(서울우면초등학교),네일숍,1.0
삼성중앙역,가구,1.0
삼성중앙역 5번,노래방,1.0
삼성중앙역 7번,미용실,1.0
삼양골목시장(삼양시장),PC방,1.0
삼양사거리역 1번,노래방,1.0
삼양사거리역 2번,PC방,1.0
삼양입구사거리,노래방,1.0
삼육보건대학교,PC방,1.0
삼익패션타운(남대문시장),가방,1.0
삼전역 1번,PC방,1.0
삼전역 3번,PC방,1.0
삼전역 4번,가전제품,1.0
삼청동,가구,1.0
삼호가든사거리,PC방,1.0
상계2동주민센터,PC방,1.0
상계3동4동주민센터,노래방,1.0
상계5동주민센터,PC방,1.0
상계백병원,PC방,1.0
상계역,PC방,1.0
상계제일중학교,가전제품,1.0
상계주공1단지(가)상가,미용실,1.0
상계중앙시장,PC방,1.0
상계초등학교,골프연습장,1.0
상도1동주민센터앞,네일숍,1.0
상도4동주민센터,미용실,1.0
상도도깨비 골목형상점가,가전제품수리,1.0
상도약수골목형상점가,노래방,1.0
상도역 1번,노래방,1.0
상도역 2번,고시원,1.0
상도역 5번,PC방,1.0
상도전통시장,골프연습장,1.0
상도초등학교,PC방,1.0
상봉역,PC방,1.0
상봉역 3번,노래방,1.0
상봉역 4번,PC방,1.0
상봉역 7번,노래방,1.0
상수역 3번,문구,1.0
상수역 4번,골프연습장,1.0
상수역(홍대),PC방,1.0
상신초등학교입구,가전제품수리,1.0
상암동상점가,PC방,1.0
상왕십리역 3번,네일숍,1.0
상왕십리역 6번,네일숍,1.0
상월곡역 1번,PC방,1.0
상월곡역 2번,노래방,1.0
상월곡역 3번,가전제품,1.0
상일여고(상일초등학교),PC방,1.0
새남터성지,미용실,1.0
새마을시장,PC방,1.0
새석관시장,문구,1.0
새절역 2번,노래방,1.0
새절역 3번,골프연습장,1.0
새터산,당구장,1.0
샘말어린이공원,가전제품,1.0
샤로수길,가전제품,1.0
서강대역 1번,PC방,1.0
서강대학교,PC방,1.0
서경대학교,PC방,1.0
서교동(홍대),가전제품,1.0
서교시장,네일숍,1.0
서대문구보건소별관,골프연습장,1.0
서대문구청,분식전문점,1.0
서대문소방서,네일숍,1.0
서대문역,가전제품,1.0
서대문우체국,미용실,1.0
서래마을카페거리(서래마을),가구,1.0
서래초등학교,가방,1.0
서문여고,가구,1.0
서빙고동주민센터,미용실,1.0
서빙고역 1번,분식전문점,1.0
서서울 골목형상점가,PC방,1.0
서서울호수공원,당구장,1.0
서연중학교,가방,1.0
