,place,rank,review_count,view_count
1179,문정동,,4.0,663.0
1180,문정동,,3.0,4536.0
1181,문정동,,3.0,631.0
1182,문정동,,2.0,1858.0
1183,문정동,,2.0,583.0
1204,문정동,,2.0,454.0
1205,문정동,,2.0,240.0
1206,문정동,,1.0,3289.0
1207,문정동,,1.0,1505.0
1208,문정동,,1.0,1087.0
1209,문정동,,1.0,788.0
1210,문정동,,1.0,766.0
1211,문정동,,1.0,117.0
1212,문정동,,9.0,2378.0
1213,문정동,,5.0,3161.0
1214,문정동,,5.0,3047.0
1215,문정동,,4.0,7772.0
1216,문정동,,4.0,3305.0
1217,문정동,,3.0,2754.0
1218,문정동,,2.0,1641.0
1219,문정동,,2.0,701.0
1220,문정동,,1.0,3159.0
1221,문정동,,1.0,1958.0
1222,문정동,,1.0,1801.0
1223,문정동,,1.0,297.0
1244,문정동,,6.0,4249.0
1245,문정동,,3.0,2408.0
1246,문정동,,3.0,996.0
1247,문정동,,2.0,7953.0
1248,문정동,,2.0,3186.0
1249,문정동,,2.0,544.0
1250,문정동,,2.0,458.0
1251,문정동,,1.0,2044.0
1252,문정동,,1.0,1121.0
1253,문정동,,1.0,744.0
1254,문정동,,1.0,431.0
1255,문정동,,1.0,333.0
1256,문정동,,1.0,287.0
1257,문정동,,1.0,203.0
1258,문정동,,1.0,74.0
1259,문정동,,4.0,836.0
1260,문정동,,3.0,4227.0
1261,문정동,,3.0,2593.0
1262,문정동,,3.0,2503.0
1263,문정동,,2.0,3191.0
1284,문정동,,2.0,2484.0
1285,문정동,,2.0,1864.0
1286,문정동,,2.0,1837.0
1287,문정동,,2.0,1559.0
1288,문정동,,1.0,3061.0
1289,문정동,,1.0,1972.0
1290,문정동,,1.0,1656.0
1291,문정동,,1.0,1641.0
1292,문정동,,1.0,1560.0
1293,문정동,,1.0,1427.0
1294,문정동,,1.0,606.0
1295,문정동,,1.0,269.0
1296,문정동,,1.0,167.0
1297,문정동,,1.0,161.0
1298,문정동,,1.0,58.0
1299,문정동,,0.0,1991.0
1300,문정동,,4.0,4902.0
1301,문정동,,4.0,4622.0
1302,문정동,,4.0,3017.0
1303,문정동,,4.0,2805.0
1324,문정동,,2.0,3545.0
1325,문정동,,2.0,1841.0
1326,문정동,,2.0,1650.0
1327,문정동,,2.0,1064.0
1328,문정동,,2.0,756.0
1329,문정동,,2.0,721.0
1330,문정동,,2.0,412.0
1331,문정동,,2.0,392.0
1332,문정동,,2.0,342.0
1333,문정동,,2.0,217.0
1334,문정동,,2.0,34.0
1335,문정동,,1.0,1915.0
1336,문정동,,1.0,1824.0
1337,문정동,,1.0,1772.0
1338,문정동,,1.0,1605.0
1339,문정동,,1.0,1536.0
1340,문정동,,1.0,973.0
1341,문정동,,1.0,751.0
1342,문정동,,1.0,606.0
1343,문정동,,1.0,448.0
1364,미아동,4.0,8.0,7593.0
1365,미아동,4.0,12.0,15540.0
1366,미아동,3.9,26.0,16765.0
1367,미아동,3.8,27.0,18583.0
1368,미아동,3.8,22.0,34054.0
1369,미아동,3.8,11.0,14848.0
1370,미아동,3.2,22.0,11453.0
1371,미아동,,1.0,2494.0
1372,미아동,,1.0,4364.0
1373,미아동,,4.0,5759.0
1374,미아동,,10.0,9279.0
1375,미아동,,3.0,535.0
1376,미아동,,12.0,10922.0
1377,미아동,,6.0,2575.0
1378,미아동,,6.0,10140.0
1379,미아동,,1.0,2993.0
1380,미아동,,4.0,5307.0
1381,미아동,,4.0,1785.0
1382,미아동,,2.0,6527.0
1383,미아동,,17.0,17426.0
1404,미아동,,5.0,2813.0
1405,미아동,,5.0,6455.0
1406,미아동,,5.0,330.0
1407,미아동,,8.0,5326.0
