place,rank,review_count,view_count
합정동,,,
합정동,3.7,38,28706
합정동,3.7,11,9925
합정동,3.7,9,5739
합정동,3.7,6,3054
합정동,3.7,6,2437
합정동,3.6,36,13089
합정동,3.6,16,9933
합정동,3.6,92,68819
합정동,3.6,12,10539
합정동,3.6,12,7679
합정동,3.6,5,176
합정동,3.6,11,2416
합정동,3.6,6,2431
합정동,3.5,18,11462
합정동,3.5,40,49740
합정동,3.5,6,3204
합정동,3.5,18,4390
합정동,3.5,5,110
합정동,3.4,158,71710
합정동,3.4,64,27679
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,3.4,36,16705
합정동,3.4,10,4572
합정동,3.4,18,11024
합정동,3.3,8,3628
합정동,3.3,5,126
합정동,3.2,27,22830
합정동,3.2,20,10026
합정동,3.2,38,20605
합정동,3.2,4,1467
합정동,,52,1223
합정동,,10,10660
합정동,,11,19544
합정동,,9,5168
합정동,,15,11849
합정동,,4,5657
합정동,,9,7667
합정동,,21,16871
합정동,,12,5203
합정동,,10,10979
합정동,,6,4401
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,9,17195
합정동,,8,14032
합정동,,3,337
합정동,,2,3763
합정동,,2,319
합정동,,4,2430
합정동,,3,3011
합정동,,2,500
합정동,,1,128
합정동,,5,4441
합정동,,5,6065
합정동,,4,4884
합정동,,3,469
합정동,,1,4648
합정동,,8,7427
합정동,,8,7939
합정동,,2,948
합정동,,26,6352
합정동,,8,7376
합정동,,8,3866
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,11,5999
합정동,,10,11281
합정동,,8,7010
합정동,,6,3249
합정동,,4,3613
합정동,,3,2066
합정동,,4,2333
합정동,,4,858
합정동,,4,251
합정동,,3,5429
합정동,,3,4337
합정동,,0,203
합정동,,10,7160
합정동,,2,306
합정동,,6,4307
합정동,,4,4602
합정동,,3,5714
합정동,,2,4542
합정동,,12,23313
합정동,,7,5919
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,6,4011
합정동,,2,3711
합정동,,2,317
합정동,,7,3880
합정동,,8,7391
합정동,,6,3276
합정동,,4,3743
합정동,,4,2490
합정동,,1,1525
합정동,,1,763
합정동,,9,7113
합정동,,7,4504
합정동,,7,3128
합정동,,6,12256
합정동,,6,7030
합정동,,4,6048
합정동,,4,2848
합정동,,3,2278
합정동,,1,1208
합정동,,1,163
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
합정동,,,
